,sign,count,geometry
1319,Yield,1.0,POINT (-114.01368870257222 51.066719203781766)
1325,Yield,3.0,POINT (-114.1211749946089 50.90358117490543)
1326,Yield,3.0,POINT (-114.18886541081392 51.11038040603298)
1342,Yield,1.0,POINT (-113.95321669924178 51.08131949604616)
1346,Stop,1.0,POINT (-113.94311208416867 50.91391629063056)
1351,Yield,2.0,POINT (-113.99967552917181 51.01536089912277)
1352,Stop,4.0,POINT (-114.05728816102224 51.16968610565042)
1354,Yield,3.0,POINT (-114.07531834350411 50.9406238433634)
1355,Yield,1.0,POINT (-114.15158146906467 51.08124718692846)
1360,Yield,1.0,POINT (-114.05704682414401 51.16722397345038)
1373,Yield,1.0,POINT (-114.02232783174267 51.034973685919944)
1415,Yield,3.0,POINT (-114.1060560646617 51.17106587730886)
1428,Yield,1.0,POINT (-114.02898243460338 50.9408472823859)
1434,Stop,0.0,POINT (-114.05058558051827 51.02879633685273)
1439,Yield,3.0,POINT (-114.17343126159287 51.04559560397538)
1445,Yield,0.0,POINT (-114.1868634041727 51.10353716660563)
1446,Yield,1.0,POINT (-114.05064972263716 51.07327435400867)
1461,Stop,3.0,POINT (-114.11805065773201 51.079215612649264)
1470,Yield,4.0,POINT (-113.99063313257638 50.9362665021294)
1473,Yield,3.0,POINT (-114.03951899682153 50.87901746030694)
1476,Yield,4.0,POINT (-114.21392545525958 51.10978462409721)
1480,Stop,2.0,POINT (-114.08103387082623 50.98606323805087)
1481,Stop,3.0,POINT (-114.0485115730455 51.08229640730774)
1494,Yield,3.0,POINT (-113.94834689822453 50.919097371460836)
1495,Yield,3.0,POINT (-114.24557021362116 51.12663511332872)
1504,Yield,2.0,POINT (-114.06697533963457 50.93669925161239)
1524,Stop,1.0,POINT (-114.1128467836528 51.074141546709996)
1531,Stop,2.0,POINT (-114.05795266339608 51.04230176994871)
1540,Yield,1.0,POINT (-114.14784666037222 51.13269490375755)
1546,Stop,3.0,POINT (-114.09161560257567 51.05697890403636)
1547,Stop,0.0,POINT (-113.95807886333903 50.91840826695337)
1552,Stop,1.0,POINT (-114.02498519888556 50.885812547802885)
1555,Yield,3.0,POINT (-114.1584315911371 51.077769289470254)
1560,Stop,1.0,POINT (-114.11025151918855 51.05824179973633)
1570,Yield,3.0,POINT (-114.15252227428549 51.090615335397075)
1572,Stop,2.0,POINT (-114.21102674566849 51.0377379543221)
1574,Yield,3.0,POINT (-113.93099029844112 51.04194143473312)
1594,Stop,3.0,POINT (-114.1068938114244 51.02478125293848)
1595,Stop,3.0,POINT (-114.10612444715579 51.06435200453682)
1608,Yield,4.0,POINT (-113.93199636646969 51.04673372847434)
1616,Yield,1.0,POINT (-114.14710254628689 51.09067411515793)
1622,Stop,3.0,POINT (-114.08341311727067 51.026872579973265)
1623,Yield,0.0,POINT (-113.90518619415474 50.950618741035356)
1630,Stop,2.0,POINT (-113.980488908998 51.0479996374975)
1636,Stop,2.0,POINT (-114.11696252301303 50.89371368153392)
1659,Stop,3.0,POINT (-114.11128574266657 51.070058782310625)
1660,Stop,3.0,POINT (-114.04020038083085 50.93413877491708)
1680,Stop,1.0,POINT (-114.10859475802552 51.034671070450884)
1681,Stop,2.0,POINT (-114.11720683565015 50.892313708711285)
1689,Yield,3.0,POINT (-114.08976103000283 50.96790776852544)
1732,Stop,1.0,POINT (-113.97627178201692 50.99665144296492)
1734,Stop,0.0,POINT (-113.95839886604254 50.91840555496568)
1761,Yield,3.0,POINT (-113.91810003042494 50.9164107756852)
1763,Yield,3.0,POINT (-114.19454292871768 51.1106166775045)
1789,Stop,3.0,POINT (-113.95873415239238 51.03545651049761)
1790,Yield,1.0,POINT (-114.08997723075174 50.969221256173306)
1807,Stop,4.0,POINT (-114.07563600763807 51.05925344275345)
1809,Yield,1.0,POINT (-114.13225053023328 51.05977689796055)
1810,Stop,3.0,POINT (-113.99572371995484 51.04189827936967)
1812,Stop,2.0,POINT (-114.11456196284611 51.01444992125561)
1823,Yield,3.0,POINT (-114.11287003676904 51.09116539804748)
1828,Yield,3.0,POINT (-113.94336215602938 51.0883312275058)
1850,Stop,3.0,POINT (-114.0814706187764 51.04555726739939)
1854,Yield,3.0,POINT (-113.94959979824073 51.04840717146988)
1861,Yield,0.0,POINT (-113.97886484275399 51.02610430873418)
1862,Stop,2.0,POINT (-114.09993071492055 51.135799900120574)
1863,Stop,2.0,POINT (-113.93117733859457 51.08390679375748)
1867,Yield,1.0,POINT (-114.0428669256636 51.059463188026086)
1868,Yield,3.0,POINT (-113.97892336896913 51.07363012346639)
1875,Stop,3.0,POINT (-114.07297547828172 50.95543507632075)
1885,Stop,2.0,POINT (-114.17601621802832 51.01593816796741)
1889,Stop,3.0,POINT (-113.9623863944702 51.15247353940722)
1904,Yield,3.0,POINT (-114.24781334634962 51.152570982171966)
1909,Yield,3.0,POINT (-113.9793912246066 50.89154244899607)
1911,Stop,0.0,POINT (-114.21102409044349 51.038081932363276)
1914,Stop,3.0,POINT (-113.98805357869976 50.982164922666755)
1915,Yield,3.0,POINT (-114.09037141027824 50.92306834088732)
1916,Stop,3.0,POINT (-114.03952079310467 50.88157615142322)
1928,Yield,3.0,POINT (-114.24859235047278 51.129626382695825)
1958,Stop,0.0,POINT (-114.25760713686115 51.1393744736737)
1969,Stop,1.0,POINT (-114.09837417090135 51.050163602530276)
1970,Stop,2.0,POINT (-114.16440687892757 51.096342813223636)
1972,Yield,1.0,POINT (-113.98202510945798 50.917721515136805)
1998,Stop,3.0,POINT (-114.11306719471634 50.91090621441768)
2006,Stop,1.0,POINT (-113.98321315054402 51.04258844305953)
2032,Stop,2.0,POINT (-114.05962064112232 51.10252996191859)
2035,Stop,4.0,POINT (-113.94662773426978 51.084776939734745)
2036,Yield,3.0,POINT (-113.92668588882614 51.049607333941076)
2058,Yield,2.0,POINT (-114.10790316025107 51.082370259867034)
2082,Stop,1.0,POINT (-113.98338800693288 50.932013832960926)
2093,Yield,3.0,POINT (-114.1918608672788 51.045299789175395)
2094,Stop,1.0,POINT (-114.10645775703777 51.072284931753146)
2103,Yield,1.0,POINT (-114.01736448397273 50.93226912586382)
2109,Yield,3.0,POINT (-114.2520802812554 51.13053799133804)
2110,Stop,3.0,POINT (-113.99151985615775 51.01889381107454)
2112,Stop,1.0,POINT (-114.14315355978569 51.05048830689615)
2115,Stop,1.0,POINT (-114.14623711558481 51.03499930357358)
2128,Stop,0.0,POINT (-113.95829269287098 50.91803211228589)
2141,Stop,0.0,POINT (-114.21613774665633 51.14896212761973)
2146,Stop,3.0,POINT (-114.05629636869483 51.067834427583136)
2158,Stop,3.0,POINT (-114.22335713585906 51.12066739337958)
2176,Stop,4.0,POINT (-114.13301011852555 50.99878561083902)
2193,Stop,0.0,POINT (-114.07982070838862 51.05083021243714)
2198,Stop,3.0,POINT (-113.98869776338499 50.90592965204072)
2225,Stop,2.0,POINT (-114.10610665200232 50.96677538837741)
2256,Yield,1.0,POINT (-113.97942030546405 51.017449788561784)
2277,Yield,3.0,POINT (-114.17920922784354 51.02126587575163)
2284,Stop,1.0,POINT (-114.11521130793071 51.07611549242172)
2306,Stop,1.0,POINT (-114.07021365899236 50.89822258013001)
2331,Stop,0.0,POINT (-114.09422884319537 50.89442459335895)
2342,Stop,3.0,POINT (-114.07581006797807 51.05704461032254)
2366,Stop,1.0,POINT (-114.14493229458662 51.035859685064565)
2372,Stop,4.0,POINT (-114.17586441827108 51.01624576000948)
2374,Stop,3.0,POINT (-113.9702281891659 50.98012541089026)
2389,Yield,1.0,POINT (-114.10960337467382 51.077388902327684)
2393,Yield,1.0,POINT (-114.04810848058084 51.09763860910706)
2397,Stop,3.0,POINT (-114.10792932564848 51.074175291456726)
2398,Yield,1.0,POINT (-113.99222440245968 50.94606632183145)
2399,Yield,2.0,POINT (-114.01957318269291 51.01873197972439)
2445,Yield,1.0,POINT (-114.08865024235838 51.02964435363235)
2447,Stop,1.0,POINT (-114.15960780459535 51.07875541002326)
2449,Yield,3.0,POINT (-114.07911947647737 50.94798937487801)
2462,Stop,3.0,POINT (-114.04847722743719 51.075087424502286)
2480,Yield,1.0,POINT (-114.07001300267363 51.11808316776819)
2526,Stop,1.0,POINT (-114.15601744233831 51.074872556166234)
2535,Stop,3.0,POINT (-114.14124449551815 51.087716425966114)
2557,Yield,3.0,POINT (-114.12840584780498 50.94673450585499)
2564,Yield,3.0,POINT (-114.051113676724 51.145079095668535)
2566,Stop,3.0,POINT (-114.07774232216057 50.885787862078274)
2570,Yield,1.0,POINT (-114.10506585531265 51.063330992055484)
2587,Yield,3.0,POINT (-114.11165133998723 51.09083308576039)
2615,Yield,2.0,POINT (-113.98955319543457 50.886959198983824)
2623,Stop,3.0,POINT (-114.1385439039824 51.07249071573484)
2625,Yield,3.0,POINT (-114.05247454857331 50.917181582007245)
2639,Stop,3.0,POINT (-113.94818621564353 50.89202978863302)
2641,Stop,2.0,POINT (-114.18450471841103 51.02346339803009)
2658,Stop,3.0,POINT (-114.07137442210907 51.08246632875957)
2662,Stop,1.0,POINT (-114.09114915251884 51.062700874314416)
2684,Yield,3.0,POINT (-113.95169496695264 51.09461829821312)
2697,Yield,3.0,POINT (-114.13114663918947 51.01623639084221)
2705,Stop,1.0,POINT (-114.12091635742574 51.03484192764708)
2717,Stop,1.0,POINT (-114.0728526258704 51.066815612914716)
2721,Stop,2.0,POINT (-113.97381476446262 51.07796321313155)
2745,Stop,1.0,POINT (-114.10552002534538 50.90696244378605)
2759,Stop,2.0,POINT (-114.09186452016473 51.054108817383266)
2783,Stop,3.0,POINT (-114.11935892494947 51.05705663037022)
2790,Stop,3.0,POINT (-114.2010986407733 51.13589856405234)
2792,Stop,1.0,POINT (-114.08587149584268 50.89779238753591)
2794,Yield,3.0,POINT (-114.04636073457172 50.89607223907033)
2799,Yield,3.0,POINT (-114.12106104875878 51.09342056207465)
2801,Yield,1.0,POINT (-114.11946631628926 51.145975079551036)
2809,Stop,4.0,POINT (-114.15687294551991 51.1357650387798)
2812,Yield,1.0,POINT (-113.92545209009401 51.06242231323089)
2825,Yield,1.0,POINT (-113.99324571889396 51.03403553228099)
2828,Yield,1.0,POINT (-114.12590666870774 51.148524426756666)
2836,Stop,2.0,POINT (-114.0566502869473 51.16305432483409)
2841,Stop,2.0,POINT (-114.05744254051537 51.06157592551167)
2843,Stop,1.0,POINT (-113.94664128208618 50.98491033946698)
2848,Stop,2.0,POINT (-114.08527219833617 51.056892346628494)
2853,Yield,3.0,POINT (-114.12676812748978 51.09231546714543)
2892,Stop,3.0,POINT (-113.96212769735675 51.152191370513485)
2902,Stop,2.0,POINT (-113.96478041984146 51.07683474072944)
2907,Yield,1.0,POINT (-114.06483473598347 51.06885403202588)
2909,Yield,1.0,POINT (-114.06899170052218 51.14209609147083)
2914,Yield,3.0,POINT (-114.20801617785975 51.049669864490916)
2927,Yield,4.0,POINT (-114.20203980193904 51.067662547681245)
2932,Yield,2.0,POINT (-113.96899408656101 50.87131447817389)
2957,Stop,1.0,POINT (-114.12353352360284 50.9212236384145)
2958,Yield,3.0,POINT (-113.92733672054443 51.11658942478229)
2960,Yield,3.0,POINT (-114.24661288123608 51.128035681664635)
2968,Stop,3.0,POINT (-114.08501573468315 50.95450810330075)
2971,Yield,3.0,POINT (-114.05597267764593 50.91870272317924)
2975,Yield,4.0,POINT (-114.04485032219213 50.90716374297656)
2981,Stop,3.0,POINT (-114.08618323435597 50.968544294426174)
3009,Yield,3.0,POINT (-114.03242258584045 50.878847989445944)
3011,Stop,1.0,POINT (-113.98734157633753 50.931998945801894)
3017,Stop,1.0,POINT (-114.10196363401654 51.02572470080284)
3023,Stop,0.0,POINT (-113.95826706327081 50.91849045197466)
3026,Stop,3.0,POINT (-114.16962663328009 51.12963889062065)
3033,Stop,3.0,POINT (-114.02820162504058 51.01715868284195)
3035,Yield,3.0,POINT (-113.98566768851674 50.88626176487177)
3047,Stop,3.0,POINT (-114.04254364104196 51.049873451437705)
3061,Stop,3.0,POINT (-114.07378254851088 51.075221174722415)
3105,Stop,0.0,POINT (-114.0917650911761 51.037957739927094)
3117,Stop,2.0,POINT (-114.07696048125221 50.97751636273697)
3121,Stop,4.0,POINT (-114.16448399965574 51.096619785882574)
3129,Stop,1.0,POINT (-113.97586860311567 51.04530103238034)
3143,Yield,3.0,POINT (-113.958804426897 51.10336603799665)
3156,Yield,3.0,POINT (-114.01197423536783 51.0637490723778)
3194,Stop,3.0,POINT (-114.06632701267765 50.917479543707145)
3203,Stop,1.0,POINT (-113.99543899672982 51.04037425080434)
3215,Stop,3.0,POINT (-114.01890246344155 51.031989268632515)
3223,Stop,2.0,POINT (-114.16455275668021 51.09779855085743)
3224,Yield,3.0,POINT (-113.97253996697987 51.090984266968775)
3239,Stop,1.0,POINT (-114.0479393597493 51.027497734489565)
3247,Yield,3.0,POINT (-114.13625676568253 50.957341370668686)
3254,Stop,3.0,POINT (-114.07561327196285 51.032508469899916)
3262,Stop,2.0,POINT (-114.09091802097889 50.99398525863437)
3278,Stop,3.0,POINT (-113.94490787545648 50.893722401410976)
3282,Yield,1.0,POINT (-113.96603719506707 51.08345439453658)
3291,Yield,3.0,POINT (-114.00586422064212 51.0643139337168)
3296,Stop,0.0,POINT (-114.13246370332978 51.16784868598197)
3299,Yield,3.0,POINT (-114.10665812138784 51.00586469213113)
3307,Stop,3.0,POINT (-114.10301118259014 50.957964362189536)
3322,Stop,0.0,POINT (-114.14121329284767 50.93678676553691)
3324,Yield,3.0,POINT (-114.15854061133695 51.121043338744244)
3353,Stop,3.0,POINT (-114.09182052654904 51.05719830537726)
3363,Stop,1.0,POINT (-114.13282164988422 51.021377703863216)
3387,Yield,1.0,POINT (-114.199641236478 51.0120213696465)
3394,Stop,2.0,POINT (-114.08787367248692 51.023156577355245)
3395,Yield,1.0,POINT (-113.9634826560531 51.08171623053801)
3399,Yield,3.0,POINT (-114.07834958760425 50.916841877120525)
3408,Yield,4.0,POINT (-114.22067413776749 51.114011212431734)
3409,Stop,1.0,POINT (-114.10941725332073 51.01685641714171)
3426,Stop,0.0,POINT (-114.07497046057357 50.89982951399116)
3429,Stop,3.0,POINT (-114.24504449073724 51.13488446956842)
3438,Stop,4.0,POINT (-114.07870791638672 50.95693113441111)
3451,Yield,3.0,POINT (-114.25196286948584 51.12310371793709)
3452,Stop,3.0,POINT (-114.12070733890896 51.031476288610975)
3459,Yield,3.0,POINT (-114.2013821133223 51.043758980862734)
3490,Yield,3.0,POINT (-114.13630454311722 50.94182562749913)
3522,Yield,1.0,POINT (-114.0507170001684 51.1231186436843)
3523,Yield,0.0,POINT (-114.18703511735215 51.154128324814245)
3555,Yield,3.0,POINT (-114.0432725995224 50.87714266713315)
3559,Stop,1.0,POINT (-114.13081228318086 51.05678611822538)
3565,Yield,3.0,POINT (-114.22035337255025 51.03928257723456)
3571,Stop,3.0,POINT (-113.98209445943766 50.906831788097065)
3572,Yield,3.0,POINT (-114.21912456568216 51.110321761852184)
3583,Stop,1.0,POINT (-114.10612873044067 51.06968598896798)
3592,Yield,1.0,POINT (-114.00892824629042 50.9592989378904)
3616,Stop,1.0,POINT (-114.08125732541653 51.056028957450955)
3644,Yield,1.0,POINT (-114.19407962127076 51.12783361928208)
3648,Yield,3.0,POINT (-114.04243285568025 50.8775417795682)
3652,Yield,0.0,POINT (-114.08627934484751 51.13189516998525)
3654,Yield,0.0,POINT (-114.09014563805766 51.14438470192178)
3670,Stop,3.0,POINT (-114.07478770642123 50.96759337469346)
3673,Yield,1.0,POINT (-114.04153883098708 51.03010228649324)
3707,Yield,4.0,POINT (-113.92667286257094 51.05502871297724)
3708,Yield,1.0,POINT (-114.07891622177029 50.96496480329222)
3717,Stop,1.0,POINT (-114.21073194053449 51.11963889439806)
3719,Stop,1.0,POINT (-113.9989851267642 50.986819916325)
3729,Stop,3.0,POINT (-114.14128139962888 51.08859930107634)
3749,Stop,4.0,POINT (-113.97738716024224 51.08510801576974)
3777,Stop,3.0,POINT (-114.0783533342759 51.03530626418299)
3797,Stop,3.0,POINT (-114.17155585625657 51.14114602603377)
3805,Yield,3.0,POINT (-114.04108883329388 50.90869186271105)
3810,Stop,3.0,POINT (-114.0231820325444 50.93197935560657)
3839,Yield,1.0,POINT (-114.08918649351872 51.029687602585746)
3842,Yield,4.0,POINT (-114.24166985739188 51.14521989188116)
3847,Yield,3.0,POINT (-114.21654106433223 51.068337693757385)
3851,Yield,0.0,POINT (-113.9348620344986 51.067292254899854)
3860,Yield,3.0,POINT (-114.23784881618796 51.11438974087871)
3867,Yield,1.0,POINT (-114.09931738503413 50.95703286748514)
3869,Stop,3.0,POINT (-114.01038165676526 50.988815189864546)
3879,Stop,1.0,POINT (-114.08969666833964 51.07134214590583)
3892,Stop,4.0,POINT (-114.09493014917255 50.92152544190897)
3895,Yield,3.0,POINT (-113.96739454343832 51.01718303564447)
3915,Stop,4.0,POINT (-113.95810194461963 50.954045505846324)
3920,Yield,3.0,POINT (-114.25129923435468 51.13884563606221)
3971,Yield,1.0,POINT (-113.98193995700463 50.950626220875606)
3974,Stop,4.0,POINT (-114.23396146380533 51.15412061911711)
3989,Stop,3.0,POINT (-114.10617077788518 51.07330120872451)
3993,Stop,2.0,POINT (-114.14144571073662 51.087728934560744)
3995,Stop,1.0,POINT (-114.1379398938496 51.02133635285254)
3998,Stop,3.0,POINT (-114.03136389516894 51.087111225050116)
4028,Yield,3.0,POINT (-114.06241350458654 50.93680920982769)
4035,Stop,3.0,POINT (-113.96176603261705 50.95413391417959)
4041,Stop,1.0,POINT (-114.00100851792787 50.95380896998504)
4049,Stop,3.0,POINT (-114.1256403221296 50.941256334289726)
4091,Stop,3.0,POINT (-113.95811384590256 51.030667855490314)
4103,Stop,3.0,POINT (-114.04827780383572 50.9437046814444)
4115,Stop,5.0,POINT (-114.18337378976157 51.1305461472632)
4116,Stop,1.0,POINT (-114.08123031581701 51.07328753063903)
4119,Stop,3.0,POINT (-114.12589397962738 50.941442070199756)
4135,Yield,1.0,POINT (-114.13520705375534 51.041939592737826)
4144,Yield,1.0,POINT (-113.96561522030792 51.096531754763696)
4150,Stop,0.0,POINT (-114.21079635919455 51.038051779957456)
4153,Stop,3.0,POINT (-114.11960598638987 51.06211834473268)
4163,Yield,3.0,POINT (-114.11760688755635 51.08053036769422)
4179,Stop,4.0,POINT (-114.18330342349194 51.13401513670306)
4198,Stop,3.0,POINT (-114.04677188433007 50.96130462417561)
4202,Stop,0.0,POINT (-114.2343286876689 51.087106090340654)
4213,Yield,1.0,POINT (-113.95814921287489 50.994368662836884)
4258,Yield,1.0,POINT (-114.06215505877074 51.05509277214549)
